Categoria,Nombre,Direccion,Ciudad,Telefono,Email,Sitio,Notas,Prioridad,Fuente
Russian/Slavic Shop,Supermercado Russia,"Carrer Narcis Macia i Domenech, 12",Lloret de Mar,+34 972 364 615 / 693 918 999,,,"Прямо в Льорете! Главный целевой клиент №1. Широкий ассортимент русских продуктов. Лаваш заходит идеально. Подъехать лично с образцами.",5,qdq.com / casarusia.com
Russian/Slavic Shop,Privet,"C/ Gran Reserva, 5 (block 14 local 6)",Lloret de Mar,требует верификации,,,"Русский магазин в Льорете. Второй обязательный визит. Уточнить актуальность - в старых списках.",5,catalunya.ru / turusia.webnode.es
Russian/Slavic Shop,Ugolok,требует верификации,Lloret de Mar,требует верификации,,glovoapp.com/ru/es/lloret-de-mar/stores/ugolok-lloret-de-mar,"Есть на Glovo в Льорете - значит работает с доставкой. Найти физический адрес.",5,Glovo
Russian/Slavic Shop,Koshkin Dom,"c/San Albert, 10",Lloret de Mar (близ Жирона),требует верификации,,,"Из старых каталогов. Проверить — могло закрыться.",4,turusia.webnode.es
Russian/Slavic Shop,Nadezhda Tienda Rusa,"Carrer del Dr. Zamenhof, 19, 17220",Sant Feliu de Guíxols,+34 972 32 12 96,,www.magazin-nadezhda.blogspot.com.es,"Лучшая русская тиенда на Коста-Браве по отзывам. 30 мин от Льорета. Русские+украинские продукты. Колбасы, мариновки, копчёная рыба. Возьмут лаваш гарантированно.",5,botiguesdecatalunya.cat
Russian/Slavic Shop,Tienda Productos Rusos y Ucranianos,"c/ Doctor Fleming, 3",Platja d'Aro,требует верификации,,,"В центре города рядом с La Caixa. Близко от Льорета. Высокая релевантность.",5,barcelona-maresme.com
Russian/Slavic Shop,Troika Delikatessen,"c/ Areny, 8",Palafrugell (Girona),требует верификации,,,"Часть сети Troika на побережье Жироны. Проверить статус.",4,turusia.webnode.es / catalunya.ru
Russian/Slavic Shop,Olga,"c/ Cavallers, 44",Vilamalla (Girona),требует верификации,,,"Север Жироны. ~1 час от Льорета.",3,catalunya.ru
Russian/Slavic Shop,Slavutich,"Av. Andorra, 11",Empuriabrava (Girona),требует верификации,,,"Север Коста-Бравы. ~1 час 15 мин от Льорета.",3,catalunya.ru
Russian/Slavic Shop,Slavutich Girona,"Pl. Santa Eugenia, 2 bajo",Girona,+34 652 899 555,,,"Главный магазин в столице провинции. Жирона 35 мин от Льорета. Очень высокий приоритет.",5,espanarusa.com / catalunya.ru
Russian/Slavic Shop,Bogatyr,"C/ Punta del Escuts, edf. Rancho Suizo, bajo 1A",Girona,требует верификации,,,"Жирона. Второй русский в городе.",4,catalunya.ru
Russian/Slavic Shop,Vita,"C/ Doctor Ametller, 2 bajo 4",Girona,требует верификации,,,"Жирона.",4,catalunya.ru
Russian/Slavic Shop,Nostalgia,"Gran Passeig Ronda, 47",Girona,требует верификации,,,"Жирона. Большое наименование - вероятно проверить открытость.",4,catalunya.ru
Russian/Slavic Shop,Bazar de Rusia,"c/ Iglesia, 143, loc.4",Calella,требует верификации,,,"Калелья. 30 мин от Льорета. Из старых списков - проверить.",4,asfaru.org
Russian/Slavic Shop,Teremok,"Passeig de Sant Joan, 125, 08037",Barcelona,+34 932 082 037,,www.teremok.es,"Крупнейший русский магазин Барселоны. Прямой импорт из СНГ. Селёдка, кефир, сметана, пельмени, икра. Обязательная цель - холодные звонки + личный визит.",5,teremok.es
Russian/Slavic Shop,Troika Delicatessen,"Carrer de la Unió, 3, 08001",Barcelona,+34 933 028 273 / 93 302 82 73,info@espanarusa.com,,"Самый известный русский супер в центре БСН (El Raval, у Лас Рамблас). Открыт Пн-Вс. Русские/украинские/литовские/польские товары. Влиятельная точка.",5,bcngourmet.com / espanarusa.com
Russian/Slavic Shop,SamSmak Paral·lel,"Carrer del Roser, 7, 08004",Barcelona,требует верификации,,,"Сеть SamSmak. Икра, замороженные, творог, гречка. Хорошая точка для лаваша.",5,barcelonaguru.com
Russian/Slavic Shop,SamSmak Sants Estació,"Carrer del Rector Triadó, 92, 08014",Barcelona,+34 673 092 852 / +34 930 188 465,,,"Вторая точка SamSmak (бывш. Siberia). Возле станции Сантс.",5,barcelonaguru.com / espanarusa.com
Russian/Slavic Shop,Kalinka Malinka,"Carrer de Radas, 11",Barcelona,+34 931 745 188,,,"Семейный супермаркет. Работает 10-22 без выходных.",4,balkanicaonline.es
Russian/Slavic Shop,Magnit Russian Shop,"Carrer de Llull, 394, baja, 08019",Barcelona,+34 935 14 79 97,,,"Сант Марти. Работает 8-22 без выходных. 200+ отзывов 4* на Гугле.",5,rentechdigital.com / spaintorus.es
Russian/Slavic Shop,MiniMix - Eslava (Barceloneta),"Carrer de la Marquesa, 7, 08003",Barcelona,+34 931 276 849,,,"Барселонетта. Сильные отзывы 4.6* - 132 отзыва. Целевая.",5,rentechdigital.com / barcelona-maresme.com
Russian/Slavic Shop,Mix Markt Barcelona,"Carrer de Sicília, 133/135, 08013",Barcelona,+34 672 137 353,,www.mixmarkt.eu,"Часть европейской сети Mix Markt. Восточно-европейские деликатесы. Принимают новых поставщиков пельменей/лаваша.",5,paginasamarillas.es / mixmarkt.eu
Russian/Slavic Shop,Anahit,"C/ Mallorca, 610",Barcelona,+34 637 272 611,,www.supermercatanahit.amawebs.com,"АРМЯНСКИЙ супермаркет в Клот (метро L1/L2). Продукты бывш. СССР, России, Армении, Болгарии, Украины, Румынии. ПРИОРИТЕТ №1 - именно армянский лаваш их фирма.",5,aiyellow.com / barcelona-maresme.com
Russian/Slavic Shop,Margarita,"Avinguda Fabra i Puig, 273",Barcelona,+34 934 291 266,,www.tiendarusa.amawebs.com,"Семейная русская тиенда.",4,spaincostas.ru
Russian/Slavic Shop,El Arca de Noé / Noev Kovcheg,"Carrer de Bunyola, 9/13, 08016",Barcelona,требует верификации,,,"АРМЯНСКОЕ название! 'Ноев Ковчег' - возможный армянский владелец.",4,espanium.super.site
Russian/Slavic Shop,Marusya,"Carrer de Llull, 230, 08005",Barcelona,требует верификации,,,"Сант Марти.",4,espanium.super.site
Russian/Slavic Shop,Krakoviak,"Carrer de Sicília, 326, 08025",Barcelona,требует верификации,,,"Польский магазин - тоже могут брать. Польские и русские продукты.",3,espanium.super.site
Russian/Slavic Shop,Sonechko,"Riera Blanca, 46-48 bajos, 08903",L'Hospitalet de Llobregat,требует верификации,,,"УКРАИНСКАЯ тиенда. Русские+украинские товары. 10-22.",5,degustandobarcelona.blogspot.com
Russian/Slavic Shop,Alfa,"Av. d'Alfons XIII, 257, 08918",Badalona,требует верификации,,,"Бадалона.",4,espanium.super.site
Russian/Slavic Shop,Baltika,"Carrer de Mozart, 11-13, 08917",Badalona,требует верификации,,,"Бадалона.",4,espanium.super.site
Russian/Slavic Shop,Los Carpatos,"Carrer de l'Empordà, 4, 08940",Cornellà de Llobregat,требует верификации,,,"Корнелья.",3,espanium.super.site
Russian/Slavic Shop,Troika Castelldefels,"Av. de la Constitució, 124-126, 08860",Castelldefels,требует верификации,,,"Кастельдефельс - богатые русскоязычные.",4,spaintorus.es
Russian/Slavic Shop,Tienda Nostalgia (Santa Coloma),"C/ Cultura, 10",Santa Coloma de Gramenet,+34 646 955 792 / 618 792 137,real.arman@hotmail.com,,"Армянские владельцы. Открытое сообщение - не закрыто.",4,casarusia.com
Russian/Slavic Shop,Tienda C/ Irlanda 49,"C/ Irlanda, 49, local 3",Santa Coloma de Gramenet,требует верификации,,,"Русские+румынские+болгарские+польские. Метро F1 Santa Coloma.",3,elcontacto.ru
Russian/Slavic Shop,Bar Salamanca,"требует верификации",Sabadell,требует верификации,,,"Сабадель. Из списка rentechdigital - 49 отзывов 4.2.",3,rentechdigital.com
Russian/Slavic Shop,Kozak,"C/ 11 de Septiembre, 29",Sabadell,+34 937 220 113,,,"Польско-русский магазин.",3,casarusia.com
Russian/Slavic Shop,Matrioshka,"C/Jaume I Conquiridor, 38",Vic,+34 638 139 854,,,"Дальше от Льорета (~1ч20). Дополнительная точка.",2,asfaru.org
Russian/Slavic Shop,Cesta Selecta,"Consell de Cent 493, 08013",Barcelona,+34 685 89 03 42 / 932 17 61 16,atencionalcliente@cestaselecta.es,www.cestaselecta.es,"ОПТОВО-розничный дистрибьютор русских/восточноевр товаров в провинции Барселона. Свой холодильный транспорт. Бесплатная доставка по провинции от 50€. Возможный СТРАТЕГИЧЕСКИЙ партнёр-дистрибьютор.",5,cestaselecta.es
Russian/Slavic Shop,Balkanica Distral,требует верификации,Cataluña (склад),требует верификации,,balkanicaonline.es,"Крупный импортёр восточноевр продуктов в Испании. Болгарские/украинские/польские товары. B2B клиент №1 для масштабирования.",5,balkanica.es
Russian/Slavic Shop,Extrainvest/Extramagazin,требует верификации,Barcelona,требует верификации,,extrainvest.es / extramagazin.es,"Онлайн-магазин продуктов из Восточной Европы. Возможный дистрибьютор.",4,extrainvest.es
Russian/Slavic Shop,Almacen Optovaya Baza,"Carrer de la Tècnica, 69, 08740",Sant Andreu de la Barca,требует верификации,,,"ОПТОВАЯ БАЗА русских продуктов. Прямая B2B-цель.",5,espanium.super.site
Armenian Shop/Rest,Alimentació Ètnica d'Armènia (Arayi),"Carrer de Garcilaso, 23, 08025",Barcelona,+34 931 970 205 / 633 872 525,arayialimentacionetnica@gmail.com,m.facebook.com/Arayi-139213869747225,"Армянский этно-магазин. Сан Андреу. Владелец Aram Baghdasaryan. Целевой клиент №1 для лаваша.",5,waze.com / miatsir.net
Armenian Restaurant,Tapan Restaurant,"C. del Tenor Masini, 96, 08028",Barcelona,+34 603 941 100,,,"Армянский ресторан-бар. Рейтинг 9.5/10. Цена ~18€. Закусочные армянские блюда. Покупают лаваш ежедневно.",5,tripadvisor / thefork
Armenian Restaurant,Tapan Fast Food de Brasa,"Carrer de Provença, 9",Barcelona,требует верификации,,,"Вторая локация Tapan. Фастфуд - возможно даже больше лаваша нужно.",5,thefork
Armenian Restaurant,Mana'm,"Carrer dels Àngels, 3",Barcelona,требует верификации,,,"Армянский ресторан в Раваль. Цена ~18€.",5,thefork
Armenian Project,Araxi Aperitivos Armenios,доставка по Барселоне,Barcelona,Инстаграм-DM,,@araxi_armenia,"Армянский фуд-проект Florentina Israelian. Боксы для дома с традиц блюдами. Возможная коллаборация.",4,plateselector.com
Armenian Restaurant,Restaurante Lavash,"Carrer de Mallorca, 287, 08037",Barcelona,требует верификации,,ubereats.com/store/restaurante-lavash,"РЕСТОРАН ЛАВАШ. Прямой конкурент-партнёр. Русская/армянская/грузинская кухня. Возможно покупают лаваш у внешних производителей.",5,ubereats
Georgian Restaurant,Kinza Born,"Carrer dels Banys Vells, 15, 08003",Barcelona,+34 931 060 466,info@kinzabcn.es,kinzabcn.es,"Главный грузинский ресторан БСН. Френчайз. ВЫСОКИЙ объём лаваша/шоти. Цена 20-30€.",5,kinzabcn.es
Georgian Restaurant,Kinza Aribau,"Calle de Aribau, 179",Barcelona,+34 934 830 865 / 623 986 716,info@kinzabcn.es,kinzabcn.es,"Вторая точка Kinza. Большие порции - постоянный поток лаваша.",5,kinzabcn.es
Georgian Restaurant,Kinza Villa Castelldefels,"Calle 12, 25",Castelldefels,требует верификации,info@kinzabcn.es,kinzabcn.es,"Третья точка Kinza в Каталонии.",5,kinzabcn.es
Georgian Restaurant,Supra Barcelona,"Carrer de València, 246",Barcelona,требует верификации,,suprabarcelona.com,"Грузинский ресторан моды. Аджарули хачапури - покупают мощно лаваш и шоти. 20-40€.",5,suprabarcelona.com
Georgian Restaurant,Tiflis,"Carrer del Consell de Cent, 487",Barcelona,требует верификации,,tiflisbarcelona.com,"Грузинский ресторан рядом с Саграда Фамилья. Может быть временно закрыт.",4,tiflisbarcelona.com
Georgian Restaurant,Chveni,"Carrer d'Escòcia, 71",Barcelona,требует верификации,,,"Грузинский ресторан в Ноу Баррис. 13-23h. Доставка/такеавей.",4,tamararestaurant.es
Georgian Restaurant,La Illau Imeruli,Estación La Sagrera зона,Barcelona,требует верификации,,,"Маленький грузинский ресторан.",3,restaurantguru.com
Georgian Restaurant,Restaurant LLau,Estación La Sagrera зона,Barcelona,требует верификации,,,"Грузинский. До 23:30.",3,restaurantguru.com
Iranian Shop/Rest,Nikomand Iranian Shop,"Carrer de Blai, 43, 08004",Barcelona,+34 931 290 828 / 607 32 11 76,,nikomand.com,"Иранский супермаркет в Поблеcec. Эксклюзивный представитель BADR в Испании/Португалии. Лавашак, рис, шафран. Очень целевой - иранцы едят много лаваша.",5,nikomand.com
Iranian Restaurant,Rincon Persa,"Calle Floridablanca, 85, 08015",Barcelona,+34 934 255 996 / +34 600 306 062,,rinconpersa.es,"Иранский ресторан. Барбекю иранское. Лаваш обязателен.",5,rinconpersa.es
Iranian Restaurant,Restaurante Shiraz,"l'Eixample (адрес уточнить)",Barcelona,требует верификации,,restauranteshiraz.es,"Иранский ресторан халяль в Эшампле.",5,restauranteshiraz.es
Lebanese/Arab Rest BSN,Aladdin Restaurante,"Av. de Gaudí, 50, Eixample, 08025",Barcelona,+34 934 463 467,,restaurantealaddin.com,"Ливанский ресторан. 980 отзывов на TripAdvisor. Топ-3 ливанских в БСН. Объёмы лаваша/питы значительные.",5,tripadvisor
Lebanese/Arab Rest BSN,Arabia Cafe-Restaurant,Carrer Verdi 16 район Gracia,Barcelona,требует верификации,,cafearabiabarcelona.com,"ЛИВАНСКИЙ ХАЛЯЛЬ ресторан. 1675 отзывов - один из крупнейших.",5,tripadvisor
Lebanese/Arab Rest BSN,Restaurante Sannin,"Carrer de l'Encarnació, 44, 08024",Barcelona,требует верификации,,restaurantelibanessannin.com,"Семейный ливанский. Хумус/баба гануш/фалафель/шиш-кебаб - всё с питой и лавашем.",5,restaurantelibanessannin.com
Lebanese/Arab Rest BSN,Karakala,"Carrer Torrent de l'Olla, 136, 08012",Barcelona,требует верификации,,,"Ливанский ресторан Грасия. ~15€.",4,paginasamarillas
Lebanese/Arab Rest BSN,Restaurante Reem Al Bawadi,"Via Laietana, 59 bajo (tienda 2), 08003",Barcelona,требует верификации,,,"Ливанский на Via Laietana. ~20€.",4,paginasamarillas
Lebanese/Arab Rest BSN,Fenicia,требует верификации (Sants),Barcelona,требует верификации,,,"Ливанский ресторан в Сантс. 482 отзыва.",4,tripadvisor
Lebanese/Arab Rest BSN,Albe Barcelona,"Carrer de Mallorca, 196, 08036",Barcelona,требует верификации,,,"Современный ливанско-каталонский фьюжн.",4,inandoutbarcelona
Lebanese/Arab Rest BSN,Mazah Restaurant,"Gran Via de les Corts Catalanes, 618, 08007",Barcelona,+34 930 130 311,,mazahrestaurant.es,"Ливанский ресторан с граффити.",4,mazahrestaurant.es
Lebanese/Arab Rest BSN,Bar Restaurante Gardenia,"Calle Provenza, 546 Local 3, 08025",Barcelona,+34 612 431 834 / 632 132 127,bayanbarcelona8@gmail.com,barrestaurantegardenia.com,"Сирийско-ливанско-средиземноморский.",4,barrestaurantegardenia.com
Lebanese/Arab Rest BSN,ARWAD Restaurant Sirio,Sants,Barcelona,требует верификации,,arwad.es,"Сирийско-ливанский ресторан в Сантс.",4,arwad.es
Lebanese/Arab Rest BSN,La Caravana,"Carrer de Mozart, 15-16, 08012",Barcelona,+34 934 151 771,,lacaravanabarcelona.com,"Сирийский ресторан 30+ лет в Грасия. Большие объёмы лаваша.",4,wanderlog
Lebanese/Arab Rest BSN,Restaurante Xix Kebab,требует верификации,Barcelona,требует верификации,,,"Сирийский ресторан 'middle eastern' в БСН.",4,tripadvisor
