ID,Тип_покупки,Категория,Название,Адрес,Город,Телефон,Email,Сайт,Заметки,Приоритет,Источник,Верифицировано,Доверие,Дата_проверки,Источник_проверки,Халяль_нужен,Холодная_цепочка,Текущий_поставщик_лаваша,Сезонность
R001,Розница,Розница-Русский/славянский магазин,Nash Supermarket (ex-Supermercado Russia),"Carrer Narcis Macia i Domenech, 12, local 7 A, 17310",Lloret de Mar,+34 972 36 46 15,info@nashsupermarket.com; nashsede@gmail.com,https://www.nashsupermarket.com,"Прямо в Льорете. Главный целевой клиент. ВАЖНО: магазин ребрендирован — раньше Supermercado Russia, сейчас Nash Supermarket (тот же телефон, тот же адрес). Часы: Пн-Пт 10-14 и 16-20, Пн-Сб 10-21, Вс 10-14 (по разным источникам). Подъехать лично с образцами. В соседнем помещении (local 4) — ресторан Ugolok. По тому же адресу также есть страница Supermercado Ruso SMAK (+34 602 613 275) — проверить, действующий ли это бренд или конкурент в соседнем помещении.",5,qdq.com / casarusia.com,Да,5,2026-05-28,https://www.nashsupermarket.com/contacto/ + https://www.paginasamarillas.es/f/lloret-de-mar/supermercado-russia_197421266_000000001.html + https://www.facebook.com/nashsupermarket/,,,,Сезонный (пик летом)
R002,Розница,Розница-Русский/славянский магазин,Privet,"C/ Gran Reserva, 5 (block 14 local 6)",Empuriabrava (НЕ Lloret de Mar),,,,"Адрес и название встречаются ТОЛЬКО в старых каталогах 2010-2013 гг (casarusia.com, asfaru.org, turusia.webnode.es, masalladepireneos). Город — Empuriabrava, а не Lloret de Mar (база содержала ошибку). Свежих подтверждений 2023-2026 не найдено: ни Google Maps, ни соцсетей, ни Páginas Amarillas. Высокая вероятность что магазин закрыт. ПЕРЕД ВИЗИТОМ — позвонить в местные источники или проверить лично.",3,catalunya.ru / turusia.webnode.es,Нет,2,2026-05-28,not found in 2023-2026 sources,,,,Круглый год
R003,Прочее,Restaurante (NO es tienda),Ugolok Restaurant,"Carrer de Narcis Macia i Domenech, 12, Local 4, 17310",Lloret de Mar,+34 872 20 10 58,ugoloklloret@gmail.com,https://restaurant-ugolok.goto-where.com / https://www.instagram.com/ugoloklloret/,"КРИТИЧЕСКАЯ КОРРЕКЦИЯ: Ugolok — это РЕСТОРАН восточноевропейской/армянской кухни, а НЕ магазин. Тот же дом что и Nash Supermarket, но другой local. Часы 08:30-23:30, среда выходной. Доставка через Glovo/Uber Eats. Категория сменена на Restaurante. Может быть отличным B2B-каналом для лаваша (ресторанный сегмент).[DOUBLE_CHECK 28.05.2026] Доп. тел +34 605 77 67 44",5,Glovo,Да,5,2026-05-28,https://www.tripadvisor.es/Restaurant_Review-g494960-d23378366 + https://restaurant-ugolok.goto-where.com/ + https://www.instagram.com/ugoloklloret/,,,,Сезонный (пик летом)
R004,Розница,Розница-Русский/славянский магазин,Koshkin Dom,"c/San Albert, 10",Lloret de Mar,,,,"Адрес фигурирует ТОЛЬКО в старых каталогах 2010-2013 (asfaru.org, hola.ru, masalladepireneos, emigrantforum). Нет ни сайта, ни соцсетей, ни Páginas Amarillas, ни Google Maps записи. С высокой вероятностью ЗАКРЫТО. Перед визитом — проверить через локального контакта.",4,turusia.webnode.es,Нет,2,2026-05-28,not found in 2023-2026 sources,,,,Сезонный (пик летом)
R005,Розница,Розница-Русский/славянский магазин,Nadezhda Tienda Rusa,"Carrer del Dr. Zamenhof, 19, 17220",Sant Feliu de Guíxols,+34 972 32 12 96,,https://magazin-nadezhda.blogspot.com/,Подтверждена. Часы: Пн-Вс 10:30-14:00 и 17:00-20:30. Большой ассортимент русских и украинских продуктов. Лучшая русская тиенда на Коста-Браве. Instagram: @nadezhda.sfg. 30 мин от Льорета. Высочайший приоритет.,5,botiguesdecatalunya.cat,Да,5,2026-05-28,https://spaintorus.es/karta/nlisting/girona/nadezhda-tienda-rusa/ + https://www.instagram.com/nadezhda.sfg/ + https://www.botiguesdecatalunya.cat/cat/soci/nadezhda-tienda-rusa,,,,Круглый год
R006,Розница,Розница-Русский/славянский магазин,Tienda Productos Rusos y Ucranianos,"c/ Doctor Fleming, 3",Platja d'Aro,,,,"Старый адрес из barcelona-maresme.com не удалось подтвердить актуальными источниками. ВАЖНАЯ АЛЬТЕРНАТИВА в той же зоне: MIX-Markt Platja d'Aro по адресу Av. de Castell d'Aro, 74, 17250 — действующая сеть восточноевропейских магазинов (подтверждено Instagram @mixmarktes 2024). Рекомендую заменить таргет на Mix-Markt либо проверить старый адрес лично.",4,barcelona-maresme.com,Нет,2,2026-05-28,not found / alt: https://www.instagram.com/p/C842-ZKtYMO/ (Mix-Markt Platja d'Aro),,,,Круглый год
R007,Розница,Розница-Русский/славянский магазин,Troika Delikatessen,"c/ Areny, 8",Palafrugell (Girona),,,,"Адрес из старых каталогов 2010-2013. Действующий бренд Troika Delicatessen существует, но В БАРСЕЛОНЕ (C/ Unió 3-5, тел +34 93 272 64 90, tienda-rusa-barcelona.blogspot.com). Адрес в Palafrugell не подтверждён ни одним актуальным источником — высокая вероятность что закрыт или никогда не открывался под этим брендом. Рекомендую вычеркнуть либо рассматривать барселонский Troika как отдельный таргет.",4,turusia.webnode.es / catalunya.ru,Нет,1,2026-05-28,not found in 2023-2026; existing Troika is in Barcelona (https://www.facebook.com/pages/Troika-Dellicatessen/171082832926215),,,,Круглый год
R008,Розница,Розница-Русский/славянский магазин,Olga,"c/ Cavallers, 44",Palafrugell (НЕ Vilamalla),,,,"КОРРЕКЦИЯ ГОРОДА: по нескольким источникам (turusia.webnode.es, masalladepireneos, mitorrevieja) магазин Olga находился в Palafrugell, а не в Vilamalla — база содержит ошибку. Адрес и название только в старых каталогах 2010-2013. Свежих подтверждений нет. С высокой вероятностью закрыт.",3,catalunya.ru,Нет,1,2026-05-28,not found in 2023-2026 sources,,,,Круглый год
R010,Розница,Розница-Русский/славянский магазин,Slavutich Girona,"Pl. Santa Eugenia, 2, bajo, 17005",Girona,+34 652 899 555,,,"Адрес подтверждается несколькими каталогами (casarusia.com, asfaru.org, hola.ru, emigrantforum, turusia.webnode.es). Телефон из исходной базы (652 899 555) актуальными источниками не верифицирован напрямую — оставляю с пометкой Parcial. Сайта/соцсетей не найдено. Жирона — 35 мин от Льорета. Рекомендую звонить и проверять физически. Высокий приоритет.",5,espanarusa.com / catalunya.ru,Частично,3,2026-05-28,адрес подтверждён в каталогах; телефон не верифицирован независимо,,,,Круглый год
R011,Розница,Розница-Русский/славянский магазин,Bogatyr,"C/ Punta del Escuts, edf. Rancho Suizo, bajo 1A",Girona,,,,"Название и адрес фигурируют только в catalunya.ru. Никаких подтверждений в актуальных источниках 2023-2026 (нет Google Maps, нет Páginas Amarillas, нет Instagram/FB). Адрес с пометкой 'Rancho Suizo' нехарактерен для самой Жироны — возможно ошибка в данных. Высокая вероятность что закрыт или никогда не существовал в Жироне.",4,catalunya.ru,Нет,1,2026-05-28,not found,,,,Круглый год
R012,Розница,Розница-Русский/славянский магазин,Vita,"C/ Doctor Ametller, 2, bajo 4",Lleida (НЕ Girona),,,,"КРИТИЧЕСКАЯ КОРРЕКЦИЯ ГОРОДА: по двум независимым источникам (mitorrevieja.blogspot.com, casarusia.com) магазин Vita находится в LLEIDA (Льейда), а не в Girona — база содержала грубую ошибку. Lleida в 250 км от Lloret de Mar — выходит за пределы целевого региона Costa Brava. Рекомендую исключить из batch1 либо перенести в другой батч.",4,catalunya.ru,Нет,2,2026-05-28,http://mitorrevieja.blogspot.com/2013/04/blog-post_5663.html (Lleida); not in Girona,,,,Круглый год
R013,Розница,Розница-Русский/славянский магазин,Nostalgia,"Gran Passeig Ronda, 47",Lleida (НЕ Girona),,,,"КРИТИЧЕСКАЯ КОРРЕКЦИЯ ГОРОДА: по нескольким независимым источникам (casarusia.com, asfaru.org, hola.ru, masalladepireneos) магазин Nostalgia находится в LLEIDA (Льейда), а не в Girona — база содержала грубую ошибку. Lleida в 250 км от Lloret de Mar — выходит за пределы целевого региона Costa Brava. Рекомендую исключить из batch1 либо перенести в другой батч.",4,catalunya.ru,Нет,2,2026-05-28,https://casarusia.com/foro/viewtopic.php?t=151 + http://www.asfaru.org/pagines/listadotiendasrusas.htm (Lleida),,,,Круглый год
