ID,Тип_покупки,Категория,Название,Адрес,Город,Телефон,Email,Сайт,Заметки,Приоритет,Источник,Верифицировано,Доверие,Дата_проверки,Источник_проверки,Халяль_нужен,Холодная_цепочка,Текущий_поставщик_лаваша,Сезонность
N001,Готовый,Кебабная,Capadoccia Calella Kebab,"Carrer de l'Església, 271",Calella,+34 931 18 64 75,,https://capadoccia-calella-kebab.menufyy.com/,"Турецкий донер, центр Калельи, рядом церковь",1,WebSearch,Si,Высокое,2026-05-29,Menufyy,Да,Холод,Неизвестен,Лето пик
N002,Готовый,Кебабная,Kebab Calella Best Halal Food,"Carrer d'Amadeu, 48",Calella,+34 624 27 01 06,,,"Халяль, рейтинг 4.7 / 260 отзывов, открыт до полуночи",1,WebSearch,Si,Высокое,2026-05-29,Top-rated.online,Да,Холод,Неизвестен,Лето пик
N003,Готовый,Кебабная,Marino Istanbul Calella,"Carrer de Jovara, 3",Calella,,,,Дюрум и кебабы средиземноморского стиля,2,WebSearch,Parcial,Среднее,2026-05-29,Wanderlog,Да,Холод,Неизвестен,Лето пик
N004,Готовый,Кебабная,Haidry King Kebab Pizzeria,"Carrer de Jovara, 70",Calella,+34 613 16 19 50,,,Кебаб и пицца на Jovara,2,WebSearch,Si,Высокое,2026-05-29,RestaurantGuru,Да,Холод,Неизвестен,Лето пик
N005,Готовый,Кебабная,Istanbul Restaurant Calella,,Calella,,,,"Рейтинг 4.0, лепёшку пекут на заказ — потенциал для свежего лаваша",2,WebSearch,No,Среднее,2026-05-29,Tripadvisor,Да,Холод,Неизвестен,Лето пик
N006,Готовый,Кебабная,Bar Caprizi Restaurante de Kabab,,Calella,,,,Кебаб + пицца + курица халяль,3,WebSearch,No,Среднее,2026-05-29,Tripadvisor,Да,Холод,Неизвестен,Лето пик
N007,Готовый,Кебабная,RJ Tandoori Grill Halal Take Away,,Calella,,,https://rjtandoorigrill.com/,Тандури + халяль такеуэй,3,WebSearch,Parcial,Среднее,2026-05-29,Собственный сайт,Да,Холод,Неизвестен,Лето пик
N008,Готовый,Кебабная,Anatolia Kebab Pizzeria Calella,,Calella,,,,Кебаб-пиццерия,3,WebSearch,No,Низкое,2026-05-29,JustEat,Да,Холод,Неизвестен,Лето пик
N009,Готовый,Кебабная,Mykonos Kebab Calella,,Calella,,,,Кебаб-точка,4,WebSearch,No,Низкое,2026-05-29,JustEat,Да,Холод,Неизвестен,Лето пик
N010,Готовый,Кебабная,Luna Anatolia Calella,,Calella,,,,Турецкая точка,4,WebSearch,No,Низкое,2026-05-29,JustEat,Да,Холод,Неизвестен,Лето пик
