ID,Categoria,Nombre,Direccion,Ciudad,Telefono,Email,Sitio,Notas,Prioridad,Fuente
CRU-001,Ship Chandler BCN,Barcelona Europe Supply S.L.,"C/Enric Prat de la Riba 12, Pol. Ind. Salas",Sant Boi de Llobregat (BCN),+34 93 337 2370,info@bcneuropesupply.com,https://bcneuropesupply.com,"ISSA member. Especializada en aprovisionamiento, almacenaje y distribucion de alimentacion para cruceros. Productos frescos y congelados. Almacen en poligono industrial BCN cerca de Mercabarna. Solucion verticalmente integrada: storage + provisioning + reparto a buques. Departamento de Compras tiene formulario dedicado. Requiere HACCP minimo + posiblemente IFS/BRCGS para listado como food supplier de cruceros.",5,bcneuropesupply.com / shipsupply.org / Memoria Port Tarragona 2023
CRU-002,Ship Chandler BCN,EMS Ship Supply Spain S.A. (Eitzen Maritime Services / Seven Seas Group),"Moll de Sant Bertran 4 (Naves 1-2 Tinglado 3), Puerto",Barcelona 08039,+34 934 43 97 97,supply.spain@sevenseasgroup.com,https://sevenseasgroup.com,"Parte de Seven Seas Group (uno de mayores ship suppliers mundiales). Oficina DENTRO del puerto BCN - Moll de Sant Bertran. General supplier: provisions, mooring ropes, safety, deck/engine. Sirve a cruceros y mercantes. Procurement food centralizado a nivel grupo - dificil entrar como nuevo proveedor pero alto volumen si entras. Requiere HACCP, trazabilidad lote, ISO 22000 deseable.",5,europages.co.uk / mycruiseship.info / sevenseasgroup.com
CRU-003,Ship Chandler BCN,Velumar Ship Suppliers S.L.,"Carrer Femades 32",L'Hospitalet de Llobregat (BCN) 08907,+34 93 335 8294 / +34 602 65 93 90,info@velumar.com,https://velumar.com,"ISSA member. Head office en BCN metropolitano. Especializada en provisions, bonded stores y technical stores. Tamano mediano - mas accesible para nuevo proveedor que multinacionales. Activo en reclutamiento (publican vacantes de chofer en JobToday). Distancia a Lloret ~80 km - logistica viable. Pedir cita comercial con direccion de compras.",5,velumar.com / shipsupply.org / einforma.com
CRU-004,Ship Chandler BCN,Mare Nostrum Supply S.L.,"Carrer d'Arago 29",El Prat de Llobregat (BCN),,info@marenostrumsl.com (probable - sin confirmar),https://www.marenostrumsl.com,"Empresa familiar. Ubicada en El Prat (cerca de aeropuerto BCN y puerto). Sirve cruceros y mercantes. Productos: frozen, refrigerated, dry goods + cabin/bonded/deck/engine stores. Tamano pequeno-mediano = entrada potencialmente mas viable. Web Wix con formulario de contacto. Familia = decisiones rapidas pero conservadoras.",5,marenostrumsl.com / theshipmarket.com / portvendor.com
CRU-005,Ship Chandler BCN,Nautichandler Barcelona,"Paseo Juan de Borbon 80 Local H",Barcelona 08039,+34 937 824 274,bcn@nautichandler.com,https://nautichandler.com,"Grupo Nautichandler desde 1971 (Mallorca + BCN + Vilanova). Mas orientado a yates/superyates y marina deportiva que cruceros grandes. Provisions, deck, hotel supplies. Ubicacion Port Vell BCN = cerca de marinas. Entrada viable para pan/lavash como producto deli-mediterraneo. HACCP requerido.",4,nautichandler.com / marinetraffic.com / ecoworksmarine.com
CRU-006,Ship Chandler BCN,Albatros Shipping S.L.,"Passeig del Ferrocarril 335-337, 3o 3a",Castelldefels (BCN) 08860,+34 93 517 79 77 / +34 619 357 238,barcelona@albatros-shipping.com,https://albatros-shipping.com,"ISSA member. Head office Castelldefels (BCN sur, cerca de aeropuerto). Especializada en technical stores, safety, provisions, owner spare parts. Provisions NO es nucleo del negocio - mas tecnico. Vale la pena contactar pero menor probabilidad de pedido grande de pan. Sucursales: Algeciras, Tarragona, Valencia, Las Palmas.",4,albatros-shipping.com / shipsupply.org
CRU-007,Ship Chandler BCN,Limani Supply Group S.L.,"Sede Madrid - operaciones BCN via puerto",Madrid (sede) / Barcelona (operacion),+34 91 9011 849,info@limanisupply.com,https://www.limanisupply.com/ship-chandler-barcelona/,"ISSA member. Sede Madrid pero operacion completa en BCN (pagina dedicada Ship Chandler Barcelona). Provisions, deck, engine, cabin stores, pyrotechnics, safety, spare parts. Logistica nacional. Sirve cruceros en BCN. Procurement centralizado en Madrid - escribir a info@ con tarjeta del producto.",4,limanisupply.com / shipsupply.org
CRU-008,Ship Chandler BCN,Barcelona International of Provisions S.L. (BIP),Barcelona puerto,Barcelona,,,,,"ISSA member - Head Office Barcelona. Especializada en drinks, liqueurs y tobacco. ISO 9001:2000 / ISO 9002. NO es supplier de alimentacion fresca - principalmente bebidas y bonded stores. Prioridad BAJA para lavash pero util conocer en mapa competitivo.",3,shipsupply.org / magicport.ai
CRU-009,Ship Chandler BCN,Bayport S.A. (Branch Barcelona),Barcelona - sucursal,Barcelona,,,https://bayport-supply.com,"ISSA member. Head office Cadiz, sucursales en BCN, Bilbao, Las Palmas, Valencia, Algeciras. Bayport es grande, sirve cruceros y comerciales. Entrar via sucursal BCN pero procurement food puede estar centralizado en Cadiz. Direccion BCN especifica no publicada en ISSA - buscar via marinetraffic o contacto directo.",4,shipsupply.org / marinetraffic.com / portcastello.com
CRU-010,Ship Chandler BCN,EIS Maritimo S.A. (Branch Barcelona),Barcelona - sucursal,Barcelona,,,,,"ISSA member. Head office Madrid. Sucursales: BCN, Bilbao, Algeciras, Almeria, Valencia. General Ship Supplier - cubre provisions. Procurement centralizado Madrid probablemente. Tamano mediano - posible entrada.",4,shipsupply.org
CRU-011,Ship Chandler BCN,Altimex S.L. (Travel Retail / Duty Free),"Gava / Sant Boi de Llobregat zona",Gava (BCN),,,,"ISSA member - Head Office Barcelona. Especializada en cosmetics, alcohol, tobacco (no food). Mercado: travel retail / duty free / cruceros. NO es supplier de pan. Prioridad MUY BAJA. Mantener en mapa pero no contactar para lavash.",2,shipsupply.org / LinkedIn
CRU-012,Ship Chandler BCN,Sutracel S.L.,Barcelona,Barcelona,+34 977 20 33 50,direccion@sutracel.com / lluisjr@sutracel.com,,"ISSA member. Especializada en plastic-free single use products (no food). NO es supplier de alimentacion. Util como contacto secundario si entran al mercado tableware/embalaje.",2,shipsupply.org
CRU-013,Ship Chandler BCN,Beauty Superbrands SLU,Barcelona,Barcelona,,,,"ISSA member - Head Office Barcelona. Fragrance, cosmetics, alcohol, tobacco. Wholesaler. NO food. Solo para mapa - no contactar para lavash.",1,shipsupply.org
CRU-014,Ship Chandler ES (vecino),Harpo Ship Suppliers S.L.,"Muelle de Poniente (almacen 342 m2)",Almeria (sirve toda Espana),,,https://harpoship.com,"ISSA member. Aunque sede en Almeria, su web indica que sirve TODOS los puertos espanoles incluido BCN. Provisions fresh/frozen/dry + bonded + spare parts. Logistica nacional. Util como segundo escalon si BCN-locales no responden.",3,harpoship.com / shipsupply.org / puertos.es
CRU-015,Port Operator,Autoridad Portuaria de Barcelona (Port de Barcelona),"Edificio Est World Trade Center, Moll de Barcelona s/n",Barcelona 08039,+34 93 306 88 00,info@portdebarcelona.cat,https://www.portdebarcelona.cat,"Gestor del puerto. NO compra alimentacion directamente pero gestiona terminales y permisos de acceso. Util para: (a) lista oficial de proveedores autorizados, (b) permisos de carga/descarga, (c) introduccion a operadores terminales. Punto de partida administrativo.",3,portdebarcelona.cat
CRU-016,Port Operator,Barcelona Cruise Port (Creuers del Port de Barcelona),Terminals A B C D E - Moll Adossat,Barcelona 08039,+34 93 295 91 00,info@bcncruiseport.com,https://bcncruiseport.com,"Operador concesionario de terminales A/B/C/D (Adossat) + South Terminal (WTC). Gestiona los muelles donde atraca la mayoria de cruceros. NO compra food pero punto critico para coordinacion de entregas a bordo (slot de carga / permisos). Contactar para entender protocolo de ship delivery.",3,bcncruiseport.com / barcelona-tourist-guide.com
