ID,Categoria,Nombre,Direccion,Ciudad,Estrellas,Habitaciones,Cadena,Telefono,Email,Sitio,Notas,Prioridad,Fuente
HOT001,Hotel 5★ Costa Brava,Rigat Park & Spa Hotel,"Av. America 1, Platja de Fenals",Lloret de Mar,5★,99,Independiente,+34 972 36 52 00,info@rigat.com,https://www.rigat.com,"Лакшери 5★, Fenals. Тихий курорт. Кухня — гастрономический ресторан + buffet. Цель — premium-сегмент гостей. Email общий, F&B требует уточнения.",5,rigat.com
HOT002,Hotel 5★ Costa Brava,Hotel Santa Marta,"Playa de Santa Cristina, s/n",Lloret de Mar,5★,76,Independiente,+34 972 364 904,info@hotelsantamarta.com,https://hotelsantamarta.es,"5★ на Plaza Santa Cristina. Reserves@ канал: reserves@hotelsantamarta.net. Высокий ценовой сегмент.",5,hotelsantamarta.es
HOT003,Hotel 5★ Costa Brava,L'Azure Hotel,"Carrer dels Esports, S/N",Lloret de Mar,5★,148,htop hotels,+34 972 364 658,reservations@lazure-hotel.com,https://www.lazure-hotel.com,"4★ Sup / Adults-friendly, входит в htop. MICE-канал: mice@lazure-hotel.com. Большой буфет.",5,lazure-hotel.com
HOT004,Hotel 5★ Costa Brava,Alva Park Costa Brava Resort & Spa,"Calle Francesc Layret, 3-5, Platja de Fenals",Lloret de Mar,5★,80,Independiente,+34 972 368 581,info@alvapark.com,https://www.alvapark.com,"Премиум 5★ Fenals. Email уточнить — указанный info@ требует верификации. Высокий LTV.",5,trvlweekly
HOT005,Hotel 4★ Costa Brava,Meliá Lloret de Mar,"Av. Vila de Tossa, 27",Lloret de Mar,4★ Sup,200,Meliá Hotels International,+34 872 048 270,melia.lloretdemar@melia.com,https://www.melia.com,"4★ Superior сетевой Meliá. 200 комнат. Buffet + à la carte. ТОП-приоритет для лаваша на завтраке.",5,melia.com
HOT006,Hotel 4★ Costa Brava,Evenia Olympic Resort (Park/Palace/Garden/Suites),"Avda Senora De Rossell",Lloret de Mar,4★,1500+,Evenia Hotels,+34 972 365 820,reservas@eveniahotels.com,https://eveniahotels.com,"Крупнейший resort-комплекс Льорета. 4 корпуса. >1000 комнат. Огромный buffet. Главный приоритет.",5,eveniahotels.com
HOT007,Hotel 4★ Costa Brava,Hotel Gran Garbi & Aquasplash,"C/ Potosi, 7",Lloret de Mar,4★,373,Hoteles Garbi,+34 972 367 704,reservas@hotelesgarbi.com,https://www.hotelesgarbi.com,"373 комнаты, аквапарк, family. Большой buffet. F&B Director требует верификации.",5,hotelesgarbi.com
HOT008,Hotel 4★ Costa Brava,GHT Oasis Park & Spa,"C/Actor Pere Codina i Mont, 23, Platja Fenals",Lloret de Mar,4★,468,GHT Hotels,+34 972 365 021,oasispark@ghthotels.com,https://www.ghthotels.com,"468 комнат, крупнейший family-resort Fenals. Buffet с show-cooking. Главный кандидат на оптовый контракт.",5,ghthotels.com
HOT009,Hotel 4★ Costa Brava,GHT Aquarium & Spa,"C/ Actor Pere Codina i Mont, 19, Platja Fenals",Lloret de Mar,4★,260,GHT Hotels,+34 972 366 395,aquarium@ghthotels.com,https://www.ghthotels.com,"Соседний с Oasis Park. Buffet. Тот же закупочный центр GHT.",5,ghthotels.com
HOT010,Hotel 4★ Costa Brava,GHT Miratge (Adults Only),"Lloret de Mar центр",Lloret de Mar,4★,42,GHT Hotels,+34 93 769 1234,callcenter@ghthotels.com,https://www.ghthotels.com,"Adults Only. Меньший буфет, premium-формат. Контакт через сетевой центр GHT — требует уточнения по конкретному отелю.",5,ghthotels.com
HOT011,Hotel 4★ Costa Brava,htop Royal Star & Spa,"Avinguda Vila de Blanes, 70",Lloret de Mar,4★,397,htop hotels,+34 972 364 477,royalstar@htophotels.com,https://www.htophotels.com,"397 комнат. Buffet + show cooking. htop Royal Star — flagship Lloret. F&B общий — требует уточнения.",5,htophotels.com
HOT012,Hotel 4★ Costa Brava,htop Amaika (Adults Only),"Avda. América 15-23",Lloret de Mar,4★,235,htop hotels,+34 937 664 270,amaika@htophotels.com,https://www.htophotels.com,"Adults Only 4★. Buffet. Часть htop.",5,htophotels.com
HOT013,Hotel 4★ Costa Brava,Guitart Gold Central Park Aqua Resort,"C/ Constantí Ribalaigua, 7",Lloret de Mar,4★,600,Guitart Hotels,+34 972 348 700,info@guitarthotels.com,https://www.guitarthotels.com,"Family-resort с аквапарком. 3 ресторана, 8 баров. Огромный buffet. Контакт сетевой info@ — нужен F&B Director.",5,guitarthotels.com
